CountryName,CountryCode,Jurisdiction,Date,C1M_School closing,C1M_Flag,C2M_Workplace closing,C2M_Flag,C3M_Cancel public events,C3M_Flag,C4M_Restrictions on gatherings,C4M_Flag,C5M_Close public transport,C5M_Flag,C6M_Stay at home requirements,C6M_Flag,C7M_Restrictions on internal movement,C7M_Flag,C8EV_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H6M_Flag,H7_Vaccination policy,H7_Flag,H8M_Protection of elderly people,H8M_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex,DailyCases,DailyDeaths,Cases_7dayAvg,Deaths_7dayAvg
Japan,JPN,NAT_TOTAL,2020-01-01,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,,,,
Japan,JPN,NAT_TOTAL,2020-01-02,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-03,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-04,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-05,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-06,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-07,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,1.56,1.79,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-08,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,1.56,1.79,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-09,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,1.56,1.79,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-10,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,1.56,1.79,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-11,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,1.56,1.79,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-12,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,1.56,1.79,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-13,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,1.56,1.79,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-14,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,1.56,1.79,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-15,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,6.77,7.74,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-16,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,6.77,7.74,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-17,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,1.0,2.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,9.9,11.31,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-18,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,1.0,2.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,9.9,11.31,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-19,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,1.0,2.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,9.9,11.31,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-20,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,1.0,2.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,9.9,11.31,0.0,0.0,0.0,0.0,0.0
Japan,JPN,NAT_TOTAL,2020-01-21,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,1.0,2.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0,0,,,,,,,0,,0.0,0.0,NV,0.0,2.78,9.9,11.31,0.0,0.0,0.0,0.0,0.0
